top - 18:03:20 up 52 days,  6:27,  1 user,  load average: 0,04, 0,05, 0,04
Tasks: 528 total,   1 running, 522 sleeping,   5 stopped,   0 zombie
%Cpu(s):  0,3 us,  0,3 sy,  0,0 ni, 99,5 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem : 128551,2 total, 112903,1 free,   2579,6 used,  13068,5 buff/cache
MiB Swap:   2048,0 total,   1242,9 free,    805,1 used. 124734,6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
3290243 rmikhail  20   0   12600   4420   3428 R   6,7   0,0   0:00.01 top
     91 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/13
     92 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     93 root      rt   0       0      0      0 S   0,0   0,0   0:28.04 migrati+
     94 root      20   0       0      0      0 S   0,0   0,0   0:11.62 ksoftir+
     96 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     97 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/14
     98 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     99 root      rt   0       0      0      0 S   0,0   0,0   0:24.66 migrati+
    100 root      20   0       0      0      0 S   0,0   0,0   0:13.45 ksoftir+
    102 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    103 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/15
    104 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
    105 root      rt   0       0      0      0 S   0,0   0,0   0:28.33 migrati+
    106 root      20   0       0      0      0 S   0,0   0,0   0:11.76 ksoftir+
    108 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    109 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/16
    110 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
    111 root      rt   0       0      0      0 S   0,0   0,0   0:39.91 migrati+
    112 root      20   0       0      0      0 S   0,0   0,0   0:26.61 ksoftir+
    114 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    115 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/17
    116 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
    117 root      rt   0       0      0      0 S   0,0   0,0   0:33.03 migrati+
    118 root      20   0       0      0      0 S   0,0   0,0   0:27.27 ksoftir+
    120 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    121 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/18
    122 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
    123 root      rt   0       0      0      0 S   0,0   0,0   0:31.63 migrati+
    124 root      20   0       0      0      0 S   0,0   0,0   0:26.65 ksoftir+
    126 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    127 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/19
    128 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
    129 root      rt   0       0      0      0 S   0,0   0,0   0:30.18 migrati+
    130 root      20   0       0      0      0 S   0,0   0,0   0:27.00 ksoftir+
    132 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    133 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/20
    134 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
    135 root      rt   0       0      0      0 S   0,0   0,0   0:29.31 migrati+
    136 root      20   0       0      0      0 S   0,0   0,0   0:27.47 ksoftir+
    138 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    139 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/21
    140 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
    141 root      rt   0       0      0      0 S   0,0   0,0   0:29.02 migrati+
    142 root      20   0       0      0      0 S   0,0   0,0   0:30.11 ksoftir+
    144 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    145 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/22
    146 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
    147 root      rt   0       0      0      0 S   0,0   0,0   0:28.54 migrati+
    148 root      20   0       0      0      0 S   0,0   0,0   0:29.55 ksoftir+
    150 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    151 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/23
    152 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
    153 root      rt   0       0      0      0 S   0,0   0,0   0:30.68 migrati+
    154 root      20   0       0      0      0 S   0,0   0,0   0:31.68 ksoftir+
    156 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    157 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kdevtmp+
    158 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 inet_fr+
    159 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kauditd
    163 root      20   0       0      0      0 S   0,0   0,0   0:08.48 khungta+
    164 root      20   0       0      0      0 S   0,0   0,0   0:02.32 oom_rea+
    165 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 writeba+
    166 root      20   0       0      0      0 S   0,0   0,0   7:20.93 kcompac+
    167 root      25   5       0      0      0 S   0,0   0,0   0:00.00 ksmd
    168 root      39  19       0      0      0 S   0,0   0,0   0:55.45 khugepa+
    215 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kintegr+
    216 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kblockd
    217 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 blkcg_p+
    218 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 tpm_dev+
    219 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ata_sff
    220 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 md
    221 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 edac-po+
    222 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 devfreq+
    223 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 watchdo+
    226 root       0 -20       0      0      0 I   0,0   0,0   0:02.82 kworker+
    229 root      20   0       0      0      0 S   0,0   0,0   2:22.34 kswapd0
    230 root      20   0       0      0      0 S   0,0   0,0   0:00.00 ecryptf+
    232 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kthrotld
    233 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/122+
    234 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/123+
    235 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/125+
    236 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/126+
    237 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/127+
    238 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 acpi_th+
    240 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 vfio-ir+
    242 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mld
    243 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ipv6_ad+
    254 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kstrp
    263 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 zswap-s+
    297 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    304 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 charger+
    328 root       0 -20       0      0      0 I   0,0   0,0   0:03.25 kworker+
    351 root       0 -20       0      0      0 I   0,0   0,0   0:03.47 kworker+
    368 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 nvme-wq
    371 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 nvme-re+
    373 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 nvme-de+
    392 root       0 -20       0      0      0 I   0,0   0,0   0:00.17 kworker+
    394 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    395 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tm+
    396 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    397 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tm+
