Category,Topology,Source Framework,Precision,Inferred With,CPU,GPU,NPU,Last Verified
Image Segmentation,facebookresearch_sam2_small,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Segmentation,facebookresearch_sam2_tiny,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Object Detection,faceboxes,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,faceboxes,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,faceboxes,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,face-detection-0200,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,face-detection-0200,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,face-detection-0202,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,face-detection-0202,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,face-detection-0204,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,face-detection-0204,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,face-detection-0205,onnx,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,face-detection-0205,onnx,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,face-detection-0206,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,face-detection-0206,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,face-detection-0206,onnx,FP16-INT8,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,face-detection-retail-0005,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,face-detection-retail-0005,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,face-detection-retail-0005,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,facenet,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,facenet,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,facenet,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,facenet-20180408-102900,tf,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,facenet-20180408-102900,tf,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,face-recognition-resnet100-arcface,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,face-recognition-resnet100-arcface,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,face-recognition-resnet100-arcface,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,face-reidentification-retail-0095,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,face-reidentification-retail-0095,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,face-reidentification-retail-0095,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,facial-landmarks-98-detection-0001,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,facial-landmarks-98-detection-0001,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,fairseq_s2t_covost,pytorch,FP32,torch.compile,passed,passed,,OpenVINO 2026.2
Large Language Model,falcon-11B,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Large Language Model,falcon-40b,pytorch,INT4-MIXED,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,falcon-7b,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Large Language Model,falcon-7b-instruct,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Large Language Model,falcon-7b-instruct,pytorch,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,falcon-7b-instruct,pytorch,INT4-MIXED,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Large Language Model,falcon-7b-instruct,pytorch,INT8-CW,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,fara-7b,pytorch,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,fara-7b,pytorch,INT8-CW,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,fara-7b,pytorch,INT4-MIXED,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,faster_rcnn_inception_resnet_v2_atrous_coco,tf,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,faster_rcnn_inception_v2_coco,tf,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,faster_rcnn_inception_v2_coco,tf,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,faster_rcnn_R_50_C4,pytorch,FP32,torch.compile,,passed,,OpenVINO 2026.2
Object Detection,faster_rcnn_R_50_DC5_1x,pytorch,FP32,torch.compile,,passed,,OpenVINO 2026.2
Object Detection,faster_rcnn_R_50_FPN_1x,pytorch,FP32,torch.compile,,passed,,OpenVINO 2026.2
Object Detection,faster_rcnn_R_50_FPN_noaug_1x,pytorch,FP32,torch.compile,,passed,,OpenVINO 2026.2
Object Detection,faster_rcnn_resnet101_coco,tf,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,faster_rcnn_resnet101_kitti,tf,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,faster_rcnn_resnet50_coco,tf2,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,faster_rcnn_resnet50_coco,tf2,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,faster_rcnn_resnet50_coco,tf2,FP16-INT8,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,faster_rcnn_resnet50_coco,tf,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,faster_rcnn_resnet50_coco,tf,FP16-INT8,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,faster_rcnn_resnet50_fpn_coco,onnx,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,faster_rcnn_resnet50_fpn_coco,onnx,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,faster_rcnn_resnet50_fpn_coco,onnx,FP16-INT8,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,faster_rcnn_resnet50_lowproposals_coco,tf,FP16,OpenVINO,passed,,,OpenVINO 2026.2
Object Detection,faster_rcnn_X_101_32x8d_FPN_3x,pytorch,FP32,torch.compile,,passed,,OpenVINO 2026.2
Object Detection,fasterrcnn_mobilenet_v3_large_320_fpn,pytorch,FP32,torch.compile,passed,,passed,OpenVINO 2026.2
Object Detection,fasterrcnn_mobilenet_v3_large_fpn,pytorch,FP32,torch.compile,passed,,passed,OpenVINO 2026.2
Object Detection,fasterrcnn_resnet50_fpn,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image to Image,fast-neural-style-mosaic,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image to Image,fast-neural-style-mosaic,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image to Image,fast-neural-style-mosaic,onnx,INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Semantic Segmentation,fastseg-large,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Semantic Segmentation,fastseg-large,onnx,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Semantic Segmentation,fastseg-small,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Semantic Segmentation,fastseg-small,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Semantic Segmentation,fastseg-small,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
"Image Processing, Enhancement ",fbcnn,onnx,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
"Image Processing, Enhancement ",fbcnn,onnx,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
"Image Processing, Enhancement ",fbcnn,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,fbnetc_100.rmsp_in1k,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,fbnetc-100,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,fbnetc-100,pytorch,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Image Classification,fbnetc-100,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,fbnetc-100,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,fbnetc-100,pytorch,FP32-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,fbnetv3_d.ra2_in1k,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Segmentation,fcn_resnet101,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Segmentation,fcn_resnet50,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Object Detection,fcos_resnet50_fpn,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Monodepth,fcrn-dp-nyu-depth-v2-tf,tf,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Monodepth,fcrn-dp-nyu-depth-v2-tf,tf,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,flan-t5-large-grammar-synthesis,pytorch,FP16,OpenVINO,passed,,,OpenVINO 2026.2
Large Language Model,flan-t5-large-grammar-synthesis,pytorch,INT4-MIXED,OpenVINO,passed,,,OpenVINO 2026.2
Large Language Model,flan-t5-large-grammar-synthesis,pytorch,INT8-CW,OpenVINO,passed,,,OpenVINO 2026.2
Large Language Model,flan-t5-large-grammar-synthesis,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Large Language Model,flan-t5-xxl,pytorch,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,flan-t5-xxl,pytorch,INT4-MIXED,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,flan-t5-xxl,pytorch,INT8-CW,OpenVINO,passed,passed,,OpenVINO 2026.2
Image Classification,flexivit_base.300ep_in21k,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,flexivit_base.patch16_in21k,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Generation,flux.1-dev,pytorch,INT8-HYBRID,OpenVINO,,passed,,OpenVINO 2026.2
Image Generation,flux.1-dev,pytorch,INT8-CW,OpenVINO,,passed,,OpenVINO 2026.2
Image Generation,flux.1-schnell,pytorch,INT4-MIXED,OpenVINO,,passed,,OpenVINO 2026.2
Image Generation,flux.1-schnell,pytorch,INT8-CW,OpenVINO,passed,,,OpenVINO 2026.2
Image Generation,flux.1-schnell,pytorch,INT8-HYBRID,OpenVINO,passed,,,OpenVINO 2026.2
Natural Language Processing,fnet-base,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Text to Speech,forward-tacotron-duration-prediction,onnx,FP32,OpenVINO,passed,,passed,OpenVINO 2026.2
Text to Speech,forward-tacotron-duration-prediction,onnx,FP16,OpenVINO,passed,,passed,OpenVINO 2026.2
Text to Speech,forward-tacotron-duration-prediction,onnx,FP16-INT8,OpenVINO,passed,,passed,OpenVINO 2026.2
Text to Speech,forward-tacotron-regression,onnx,FP32,OpenVINO,passed,,,OpenVINO 2026.2
Text to Speech,forward-tacotron-regression,onnx,FP16,OpenVINO,passed,,,OpenVINO 2026.2
Text to Speech,forward-tacotron-regression,onnx,FP16-INT8,OpenVINO,passed,,,OpenVINO 2026.2
"Image Processing, Enhancement ",fsrcnn-x4,tf,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
"Image Processing, Enhancement ",fsrcnn-x4,tf,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
"Image Processing, Enhancement ",fsrcnn-x4,tf,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Text Recognition,functorch_maml_omniglot,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Object Detection,gaze-estimation-adas-0002,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,gaze-estimation-adas-0002,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,gaze-estimation-adas-0002,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,gc_efficientnetv2_rw_t.agc_in1k,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,gcresnet50t,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,gcvit_tiny,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,gelectra-base-germanquad,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Large Language Model,gemma-1.1-2b-it,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Large Language Model,gemma-1.1-7b-it,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Large Language Model,gemma-2-2b,pytorch,INT4-MIXED,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,gemma-2-2b,pytorch,INT8-CW,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,gemma-2-2b,pytorch,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,gemma-2-9b-it,pytorch,INT8-CW,OpenVINO,,passed,,OpenVINO 2026.2
Large Language Model,gemma-2-9b-it,pytorch,INT4-MIXED,OpenVINO,,passed,passed,OpenVINO 2026.2
Large Language Model,gemma-2-9b-it,pytorch,FP16,OpenVINO,passed,,,OpenVINO 2026.2
Large Language Model,gemma-2b,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Large Language Model,gemma-2b-it,pytorch,INT8-CW,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Large Language Model,gemma-2b-it,pytorch,INT4-MIXED,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,gemma-2b-it,pytorch,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,gemma-2b-it,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Multimodal Large Language Model,gemma-3-12b-it,pytorch,INT4-MIXED,OpenVINO,,passed,,OpenVINO 2026.2
Multimodal Large Language Model,gemma-3-12b-it,pytorch,INT8-CW,OpenVINO,,passed,,OpenVINO 2026.2
Multimodal Large Language Model,gemma-3-12b-it,pytorch,FP16,OpenVINO,passed,,,OpenVINO 2026.2
Multimodal Large Language Model,gemma-3-1b-it,pytorch,INT4-MIXED,OpenVINO,,passed,passed,OpenVINO 2026.2
Multimodal Large Language Model,gemma-3-1b-it,pytorch,FP4-NORMALIZED,OpenVINO,,passed,passed,OpenVINO 2026.2
Multimodal Large Language Model,gemma-3-1b-it,pytorch,INT8-CW,OpenVINO,,passed,,OpenVINO 2026.2
Multimodal Large Language Model,gemma-3-1b-it,pytorch,FP16,OpenVINO,,passed,,OpenVINO 2026.2
Large Language Model,gemma-3-270m,pytorch,INT4-MIXED,OpenVINO,,passed,,OpenVINO 2026.2
Large Language Model,gemma-3-270m,pytorch,INT8-CW,OpenVINO,,passed,,OpenVINO 2026.2
Large Language Model,gemma-3-270m,pytorch,FP16,OpenVINO,,passed,,OpenVINO 2026.2
Multimodal Large Language Model,gemma-3-4b-it,pytorch,INT8-CW,OpenVINO,,passed,,OpenVINO 2026.2
Multimodal Large Language Model,gemma-3-4b-it,pytorch,INT4-MIXED,OpenVINO,,passed,passed,OpenVINO 2026.2
Multimodal Large Language Model,gemma-3-4b-it,pytorch,FP16,OpenVINO,,passed,,OpenVINO 2026.2
Multimodal Large Language Model,gemma-3-4b-it,pytorch,FP4-NORMALIZED,OpenVINO,,passed,passed,OpenVINO 2026.2
Large Language Model,gemma-4-26b-a4b-it,pytorch,INT4-MIXED,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,gemma-4-31b-it,pytorch,INT4-MIXED,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,gemma-4-e2b-it,pytorch,INT4-MIXED,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,gemma-4-e2b-it,pytorch,FP4-NORMALIZED,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Large Language Model,gemma-4-e2b-it,pytorch,INT8-CW,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Large Language Model,gemma-4-e2b-it,pytorch,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,gemma-7b,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Large Language Model,gemma-7b-it,pytorch,FP16,OpenVINO,,passed,,OpenVINO 2026.2
Large Language Model,gemma-7b-it,pytorch,INT8-CW,OpenVINO,,passed,,OpenVINO 2026.2
Large Language Model,gemma-7b-it,pytorch,INT4-MIXED,OpenVINO,,passed,,OpenVINO 2026.2
Large Language Model,gemma-7b-it,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Image Classification,gernet_m,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,ghostnet_100,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Large Language Model,glm-4-9b-chat-hf,pytorch,INT8-CW,OpenVINO,,passed,,OpenVINO 2026.2
Large Language Model,glm-4-9b-chat-hf,pytorch,INT4-MIXED,OpenVINO,,passed,passed,OpenVINO 2026.2
Large Language Model,glm-4-9b-chat-hf,pytorch,FP16,OpenVINO,,passed,,OpenVINO 2026.2
Large Language Model,glm-edge-1.5b-chat,pytorch,INT8-CW,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Large Language Model,glm-edge-1.5b-chat,pytorch,INT4-MIXED,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,glm-edge-1.5b-chat,pytorch,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,glm-edge-4b-chat,pytorch,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,glm-edge-4b-chat,pytorch,INT4-MIXED,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,glm-edge-4b-chat,pytorch,INT8-CW,OpenVINO,passed,passed,,OpenVINO 2026.2
Image Classification,gluon_inception_v3,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,gluon_resnet50_v1b,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,gluon_resnext50_32x4d,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,gluon_senet154,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,gluon_seresnext101_64x4d,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
"Image Processing, Enhancement ",gmcnn-places2,tf,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
"Image Processing, Enhancement ",gmcnn-places2,tf,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
"Image Processing, Enhancement ",gmcnn-places2,tf,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,gmixer_24_224,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,gmlp_s16_224,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,googlenet,pytorch,FP32,torch.compile,passed,passed,,OpenVINO 2026.2
Image Classification,googlenet-v1,tf,FP32,OpenVINO,passed,,passed,OpenVINO 2026.2
Image Classification,googlenet-v1,tf,FP16,OpenVINO,passed,,passed,OpenVINO 2026.2
Image Classification,googlenet-v1,tf,FP16-INT8,OpenVINO,passed,,passed,OpenVINO 2026.2
Image Classification,googlenet-v2,tf,FP32,OpenVINO,,,passed,OpenVINO 2026.2
Image Classification,googlenet-v2,tf,FP16,OpenVINO,,,passed,OpenVINO 2026.2
Image Classification,googlenet-v3,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,googlenet-v3,pytorch,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Image Classification,googlenet-v3,tf,FP32,OpenVINO,,,passed,OpenVINO 2026.2
Image Classification,googlenet-v3,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,googlenet-v3,tf,FP16,OpenVINO,,,passed,OpenVINO 2026.2
Image Classification,googlenet-v3,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,googlenet-v3,pytorch,FP32-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,googlenet-v3,tf2,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Image Classification,googlenet-v3,tf2,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Image Classification,googlenet-v4,tf,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,googlenet-v4,tf,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,googlenet-v4,tf,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Large Language Model,gpt2,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Large Language Model,gpt2,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Large Language Model,GPT-2,onnx,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,GPT-2,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Large Language Model,GPT-2,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Large Language Model,GPT2Neo1.3BPoints,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Large Language Model,gpt2-wikitext2-int8-onnx-0001,onnx,FP16-INT8,OpenVINO,passed,,,OpenVINO 2026.2
Large Language Model,gpt-j-6b,pytorch,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,gpt-j-6b,pytorch,INT8-CW,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Large Language Model,gpt-j-6b,pytorch,INT4-MIXED,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Large Language Model,gpt-neox-20b,pytorch,INT4-MIXED,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,gpt-neox-20b,pytorch,INT8-CW,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,gpt-oss-20b,pytorch,INT4-MIXED,OpenVINO,,passed,,OpenVINO 2026.2
Large Language Model,gpt-oss-20b,pytorch,INT8-CW,OpenVINO,,passed,,OpenVINO 2026.2
Large Language Model,granite-3b-code-base,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Large Language Model,granite-3b-code-instruct,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Image Classification,halo2botnet50ts_256,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,halonet50ts,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,haloregnetz_b,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Text Detection,handwritten-english-recognition-0001,onnx,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Text Detection,handwritten-english-recognition-0001,onnx,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Text Detection,handwritten-japanese-recognition-0001,onnx,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Text Detection,handwritten-japanese-recognition-0001,onnx,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Text Detection,handwritten-japanese-recognition-0001,onnx,FP16-INT8,OpenVINO,passed,passed,,OpenVINO 2026.2
Text Detection,handwritten-score-recognition-0003,tf,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Text Detection,handwritten-score-recognition-0003,tf,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Text Detection,handwritten-score-recognition-0003,tf,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Text Detection,handwritten-simplified-chinese-recognition-0001,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Text Detection,handwritten-simplified-chinese-recognition-0001,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,hardcorenas_d,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,hbonet-0.25,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,hbonet-0.25,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,hbonet-0.5,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,hbonet-0.5,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,hbonet-0.5,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,hbonet-1.0,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,hbonet-1.0,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,hbonet-1.0,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,hg-s8-b1-mpii,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,hg-s8-b1-mpii,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,hg-s8-b1-mpii,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Text to Speech,hifigan_v1,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Object Detection,higher-hrnet-w32-512,onnx,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,higher-hrnet-w32-512,onnx,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,higher-hrnet-w32-512,onnx,FP16-INT8,OpenVINO,passed,passed,,OpenVINO 2026.2
Text Detection,horizontal-text-detection-0001,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Text Detection,horizontal-text-detection-0001,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Text Detection,horizontal-text-detection-0001,onnx,FP16-INT8,OpenVINO,passed,passed,,OpenVINO 2026.2
Image Classification,hrnet_w32,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Semantic Segmentation,hrnet-v2-c1-segmentation,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Semantic Segmentation,hrnet-v2-c1-segmentation,onnx,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Semantic Segmentation,hrnet-v2-c1-segmentation,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,human-pose-estimation-0002,onnx,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,human-pose-estimation-0002,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,human-pose-estimation-0002,onnx,FP16-INT8,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,human-pose-estimation-0003,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,human-pose-estimation-0003,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,human-pose-estimation-0004,onnx,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
