Category,Topology,Source Framework,Precision,Inferred With,CPU,GPU,NPU,Last Verified
Image Classification,beit_large_patch16_224.in22k_ft_in22k_in1k,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,beit-base-patch16-224-pt22k-ft22k,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2026.2
Image Classification,beitv2_large_patch16_224.in1k_ft_in22k_in1k,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,Bert,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,Bert_large,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,BERT_pytorch,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,bert-base-arabertv02,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,bert-base-cased,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,bert-base-cased,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,bert-base-cased,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,bert-base-cased,paddle,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,bert-base-cased,paddle,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,bert-base-cased,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,bert-base-cased,paddle,INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,bert-base-cased-conversational,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2026.2
Natural Language Processing,bert-base-cased-squad2,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,bert-base-cased-squad2,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,bert-base-cased-squad2,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2026.2
Natural Language Processing,bert-base-chinese-xnli-zh,tf,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Natural Language Processing,bert-base-chinese-xnli-zh,tf,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Natural Language Processing,bert-base-chinese-xnli-zh,tf,FP16-INT8,OpenVINO,passed,passed,,OpenVINO 2026.2
Natural Language Processing,bert-base-multilingual-cased,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,bert-base-multilingual-cased,pytorch,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,bert-base-multilingual-cased,pytorch,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,bert-base-multilingual-cased,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,bert-base-ner,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,bert-base-ner,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,bert-base-ner,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,bert-base-NER,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,bert-base-NER,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2026.2
Natural Language Processing,bert-base-uncased,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2026.2
Natural Language Processing,bert-base-uncased,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,bert-base-uncased-mrpc,onnx,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Natural Language Processing,bert-base-uncased-mrpc,onnx,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Natural Language Processing,bert-base-uncased-mrpc,pytorch,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,bert-base-uncased-mrpc,onnx,FP16-INT8,OpenVINO,passed,passed,,OpenVINO 2026.2
Natural Language Processing,bert-base-uncased-mrpc,pytorch,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,bert-base-uncased-mrpc,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,bert-base-uncased-sparse-70-unstructured,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,bert-base-uncased-yelp-polarity,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2026.2
Natural Language Processing,bert-large-cased,onnx,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Natural Language Processing,bert-large-cased,onnx,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Natural Language Processing,bert-large-cased,onnx,FP16-INT8,OpenVINO,passed,passed,,OpenVINO 2026.2
Natural Language Processing,bert-large-cased,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,BERT-Large-CT-STSb,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2026.2
Natural Language Processing,bert-large-NER,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2026.2
Natural Language Processing,bert-large-uncased,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,bert-large-uncased,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,bert-large-uncased,pytorch,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,bert-large-uncased,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,bert-large-uncased,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2026.2
Natural Language Processing,bert-large-uncased-whole-word-masking,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,bert-large-uncased-whole-word-masking-finetuned-squad,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2026.2
Natural Language Processing,bert-large-uncased-whole-word-masking-finetuned-sst-2,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2026.2
Natural Language Processing,bert-large-uncased-whole-word-masking-squad-0001,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,bert-large-uncased-whole-word-masking-squad-0001,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,bert-large-uncased-whole-word-masking-squad-emb-0001,onnx,FP32,OpenVINO,,passed,passed,OpenVINO 2026.2
Natural Language Processing,bert-large-uncased-whole-word-masking-squad-emb-0001,onnx,FP16,OpenVINO,,passed,passed,OpenVINO 2026.2
Natural Language Processing,bert-large-uncased-whole-word-masking-squad-int8-0001,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Large Language Model,bert-small-finetuned-squadv2,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2026.2
Natural Language Processing,bert-small-uncased-whole-word-masking-squad-0001,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,bert-small-uncased-whole-word-masking-squad-0001,onnx,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Natural Language Processing,bert-small-uncased-whole-word-masking-squad-0001,onnx,FP16-INT8,OpenVINO,passed,passed,,OpenVINO 2026.2
Natural Language Processing,bert-small-uncased-whole-word-masking-squad-0002,onnx,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Natural Language Processing,bert-small-uncased-whole-word-masking-squad-0002,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,bert-small-uncased-whole-word-masking-squad-emb-int8-0001,onnx,FP16-INT8,OpenVINO,passed,passed,,OpenVINO 2026.2
Natural Language Processing,bert-small-uncased-whole-word-masking-squad-int8-0002,onnx,FP16-INT8,OpenVINO,passed,passed,,OpenVINO 2026.2
Natural Language Processing,bge-base-en-v1.5,pytorch,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,bge-base-en-v1.5,pytorch,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,bge-large-en-v1.5,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2026.2
Natural Language Processing,bge-reranker-base,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2026.2
Natural Language Processing,bge-reranker-large,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2026.2
Natural Language Processing,BigBird,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,bigbird-pegasus-large-arxiv,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,bigbird-roberta-base,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,Bio_ClinicalBERT,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Large Language Model,BioMedLM,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Large Language Model,biomistral-7b-slerp,pytorch,INT8-CW,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,biomistral-7b-slerp,pytorch,INT4-MIXED,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Large Language Model,biomistral-7b-slerp,pytorch,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Natural Language Processing,blenderbot-400M-distill,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2026.2
Large Language Model,bloom,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Large Language Model,bloom-560m,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Large Language Model,bloomz-1b1,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Large Language Model,bloomz-1b4-zh,pytorch,FP16,OpenVINO,passed,,,OpenVINO 2026.2
Large Language Model,bloomz-1b4-zh,pytorch,INT4-MIXED,OpenVINO,passed,,,OpenVINO 2026.2
Large Language Model,bloomz-1b4-zh,pytorch,INT8-CW,OpenVINO,passed,,,OpenVINO 2026.2
Large Language Model,bloomz-3b,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Large Language Model,bloomz-7b1,pytorch,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,bloomz-7b1,pytorch,INT8-CW,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,bloomz-7b1,pytorch,INT4-MIXED,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,bloomz-7b1-mt,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Image Classification,botnet26t_256,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,brain-tumor-segmentation-0002,onnx,FP32,OpenVINO,passed,,,OpenVINO 2026.2
Image Classification,brain-tumor-segmentation-0002,onnx,FP16,OpenVINO,passed,,,OpenVINO 2026.2
Image Classification,brain-tumor-segmentation-0002,onnx,FP16-INT8,OpenVINO,passed,,,OpenVINO 2026.2
Image Classification,cait_s24_224,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,camembert-base,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,canine-s,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Object Detection,cascade_mask_rcnn_R_50_FPN_1x,pytorch,FP32,torch.compile,,passed,,OpenVINO 2026.2
Object Detection,cascade_rcnn_resnet101_fpn_1x_coco,onnx,FP16,OpenVINO,passed,,,OpenVINO 2026.2
Object Detection,cascade_rcnn_resnet101_fpn_1x_coco,onnx,FP16-INT8,OpenVINO,passed,,,OpenVINO 2026.2
Object Detection,cascade_rcnn_resnet101_fpn_1x_coco,onnx,FP32,OpenVINO,passed,,,OpenVINO 2026.2
Object Detection,centernet-hg104,tf2,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,centernet-hg104,tf2,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,centernet-hg104,tf,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,centernet-hg104,tf,FP32,OpenVINO,,passed,,OpenVINO 2026.2
Object Detection,centernet-resnet,tf,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,centernet-resnet,tf,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Large Language Model,chatglm3-6b,pytorch,INT4-MIXED,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,chatglm3-6b,pytorch,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,chatglm3-6b,pytorch,INT8-CW,OpenVINO,passed,passed,,OpenVINO 2026.2
Natural Language Processing,chinese_pretrain_mrc_macbert_large,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,chinese-xlnet-base,pytorch,FP32,torch.compile,passed,passed,,OpenVINO 2026.2
Image Classification,clip-vit-b-16-plus-240-laion400m-e32,onnx,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Image Classification,clip-vit-b-16-plus-240-laion400m-e32,onnx,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Image Classification,clip-vit-b-32-laion2b-s34b-b79k,pytorch,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Image Classification,clip-vit-b-32-laion2b-s34b-b79k,pytorch,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,clip-vit-base-patch16,pytorch,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Image Classification,clip-vit-base-patch16,pytorch,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,clip-vit-base-patch32,pytorch,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Image Classification,clip-vit-base-patch32,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,clip-vit-large-patch14,pytorch,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Image Classification,clip-vit-large-patch14,pytorch,FP16-INT8,OpenVINO,passed,passed,,OpenVINO 2026.2
